miRNA	Depth	Samples	mirbase_id
hsa-mir-1303	170430	79	MI0006370
hsa-mir-3960	117233	60	MI0016964
hsa-mir-4284	37068	141	MI0015893
hsa-mir-3151-3p	12348	24	MI0014178
hsa-mir-3195	7902	34	MI0014240
hsa-mir-607	7761	21	MI0003620
hsa-mir-6073	7686	32	MI0020350
hsa-mir-5701	7445	39	MI0019308
hsa-mir-4324	5190	46	MI0015854
hsa-mir-4419a	4409	21	MI0016755
hsa-mir-4792	4167	20	MI0017439
hsa-mir-3168	2582	35	MI0014199
hsa-mir-4488	2474	33	MI0016849
hsa-mir-4289	1513	65	MI0015898
hsa-mir-4532	1503	17	MI0016899
hsa-mir-4502	1232	36	MI0016865
hsa-mir-7110-3p	784	20	MI0022961
hsa-mir-4325	511	29	MI0015865
hsa-mir-6511a-5p	496	16	MI0022223
hsa-mir-3146	323	17	MI0014172
hsa-mir-4797-5p	288	19	MI0017444
hsa-mir-1273g-3p	265	16	MI0018003
