miRNA	Total_Depth	Sample_Hits
hsa-mir-1303	170430	79
hsa-mir-3960	117233	60
hsa-mir-4284	37068	141
hsa-mir-3151-3p	12348	24
hsa-mir-3195	7902	34
hsa-mir-607	7761	21
hsa-mir-6073	7686	32
hsa-mir-5701	7445	39
hsa-mir-4324	5190	46
hsa-mir-4419a	4409	21
hsa-mir-4792	4167	20
hsa-mir-3168	2582	35
hsa-mir-4488	2474	33
hsa-mir-4289	1513	65
hsa-mir-4532	1503	17
hsa-mir-4502	1232	36
hsa-mir-7110-3p	784	20
hsa-mir-4325	511	29
hsa-mir-6511a-5p	496	16
hsa-mir-3146	323	17
hsa-mir-4797-5p	288	19
hsa-mir-1273g-3p	265	16
