miRNA	Depth	Samples	mirbase_id
mmu-mir-1957a	412395	41	MI0009954
mmu-mir-5106	49761	16	MI0018014
mmu-mir-3963	41509	34	MI0016968
mmu-mir-1195	20036	20	MI0006303
mmu-mir-1983	11152	23	MI0009990
mmu-mir-6240	9205	10	MI0021587
mmu-mir-5112	4278	22	MI0018021
mmu-mir-6236	2872	8	MI0021583
mmu-mir-2137	2386	23	MI0010750
mmu-mir-1957b	1530	23	MI0021929
mmu-mir-5100	1316	6	MI0018008
mmu-mir-7033-5p	1208	13	MI0022882
mmu-mir-6239	1021	12	MI0021586
mmu-mir-6412	750	6	MI0021949
mmu-mir-1961	258	9	MI0009958
mmu-mir-3095-3p	242	5	MI0014088
mmu-mir-3473d	164	6	MI0018033
mmu-mir-3473b	163	5	MI0016997
mmu-mir-6364	132	5	MI0021893
mmu-mir-6348	59	5	MI0021876
mmu-mir-7009-3p	32	5	MI0022858
